index, V1, N1, N2, N3, N4, N5, N6, N7, N8, V1, E1, E2, E3, E4, E5, E6, E7, E8, V1, S1, S2, S3, S4, S5, S6, S7, S8, V1, W1, W2, W3, W4, W5, W6, W7, W8, V1, C1, C2, C3, C4, C5, C6, C7, C8
52, -0.5511811, 1219, 1086, 1961, 2144, 2021, 1240, 2183, 1017, -0.5511811, 1017, 1179, 1524, 1044, 943, 1104, 985, 2125, -0.5590551, 2296, 2115, 2238, 2217, 2275, 2316, 2325, 2125, -0.5511811, 1219, 2370, 936, 2030, 2104, 2231, 1015, 2296, -0.5590551, 2296, 2115, 2238, 2217, 2275, 2316, 2325, 2125
53, -0.54330707, 1347, 1211, 1113, 1381, 1370, 1299, 752, 938, -0.54330707, 938, 1492, 1861, 1433, 1427, 1186, 1177, 890, -0.5511811, 1086, 1130, 1041, 1042, 1032, 1273, 1392, 890, -0.54330707, 1347, 923, 1203, 1176, 1127, 1111, 971, 1086, -0.5511811, 1086, 1130, 1041, 1042, 1032, 1273, 1392, 890
54, -0.53543305, 1698, 1649, 1303, 1577, 1308, 1607, 1075, 1598, -0.53543305, 1598, 1714, 1224, 1831, 1635, 2004, 1728, 1470, -0.54330707, 1037, 1461, 1194, 1268, 1511, 1649, 1254, 1470, -0.53543305, 1698, 1079, 2027, 1703, 1474, 1182, 1701, 1037, -0.54330707, 1037, 1461, 1194, 1268, 1511, 1649, 1254, 1470
55, -0.52755904, 1119, 1590, 1813, 1732, 1667, 1425, 1900, 1657, -0.52755904, 1657, 1587, 625, 1640, 1645, 1385, 1777, 1663, -0.53543305, 1626, 1456, 1671, 2020, 1560, 1502, 1366, 1663, -0.52755904, 1119, 1641, 1240, 1522, 1787, 1657, 1528, 1626, -0.53543305, 1626, 1456, 1671, 2020, 1560, 1502, 1366, 1663
56, -0.51968503, 631, 789, 1431, 1752, 1542, 1024, 1566, 868, -0.51968503, 868, 773, 1074, 929, 1031, 722, 607, 1274, -0.52755904, 1442, 1327, 1395, 1231, 1704, 1234, 1477, 1274, -0.51968503, 631, 1960, 799, 1730, 1742, 1747, 878, 1442, -0.52755904, 1442, 1327, 1395, 1231, 1704, 1234, 1477, 1274
57, -0.511811, 966, 1413, 1090, 924, 780, 1188, 923, 1106, -0.511811, 1106, 910, 1409, 1029, 1068, 1009, 1004, 654, -0.51968503, 825, 786, 757, 1061, 674, 833, 654, 654, -0.511811, 966, 612, 1272, 739, 711, 882, 1390, 825, -0.51968503, 825, 786, 757, 1061, 674, 833, 654, 654
58, -0.503937, 1428, 1602, 1153, 1177, 1369, 1492, 1373, 1349, -0.503937, 1349, 1520, 1017, 1322, 1564, 1325, 1564, 1008, -0.511811, 782, 1032, 1210, 1061, 1150, 980, 980, 1008, -0.503937, 1428, 1102, 1536, 1305, 1268, 1113, 1713, 782, -0.511811, 782, 1032, 1210, 1061, 1150, 980, 980, 1008
59, -0.496063, 821, 901, 1248, 1677, 1486, 1074, 1389, 915, -0.496063, 915, 1043, 1517, 1038, 979, 1011, 967, 1364, -0.503937, 1499, 1578, 1428, 1203, 1363, 1263, 1492, 1364, -0.496063, 821, 1652, 923, 1376, 1378, 1487, 901, 1499, -0.503937, 1499, 1578, 1428, 1203, 1363, 1263, 1492, 1364
60, -0.48818898, 971, 1385, 848, 1027, 1009, 1468, 1133, 1590, -0.48818898, 1590, 1140, 1071, 1742, 1614, 1158, 1544, 959, -0.496063, 699, 1059, 891, 1102, 1137, 1164, 906, 959, -0.48818898, 971, 1193, 979, 1084, 1188, 1059, 1171, 699, -0.496063, 699, 1059, 891, 1102, 1137, 1164, 906, 959
61, -0.48031497, 1203, 1099, 1268, 1689, 1169, 1206, 1301, 1235, -0.48031497, 1235, 1068, 1520, 989, 1092, 1346, 1103, 1463, -0.48818898, 1454, 1225, 1464, 1456, 1586, 1413, 1631, 1463, -0.48031497, 1203, 1485, 1292, 1455, 1155, 1217, 1193, 1454, -0.48818898, 1454, 1225, 1464, 1456, 1586, 1413, 1631, 1463
62, -0.47244096, 1485, 1733, 1354, 1485, 1421, 1375, 1148, 1826, -0.47244096, 1826, 1349, 1037, 1559, 1804, 1424, 1456, 1044, -0.48031497, 1142, 1225, 1335, 1188, 1153, 921, 1472, 1044, -0.47244096, 1485, 1047, 1415, 1112, 913, 1202, 1372, 1142, -0.48031497, 1142, 1225, 1335, 1188, 1153, 921, 1472, 1044
63, -0.46456692, 1172, 1146, 1911, 1909, 1491, 1063, 1409, 1009, -0.46456692, 1009, 1378, 885, 1074, 1012, 1340, 995, 1271, -0.47244096, 1376, 1598, 1274, 1621, 1480, 1448, 1429, 1271, -0.46456692, 1172, 1368, 1148, 1377, 1691, 1388, 1135, 1376, -0.47244096, 1376, 1598, 1274, 1621, 1480, 1448, 1429, 1271
64, -0.4566929, 647, 654, 1006, 1159, 1231, 549, 1093, 865, -0.4566929, 865, 702, 949, 624, 688, 705, 800, 809, -0.46456692, 1004, 1182, 1223, 1206, 1136, 1104, 1092, 809, -0.4566929, 647, 1095, 560, 1016, 1124, 836, 507, 1004, -0.46456692, 1004, 1182, 1223, 1206, 1136, 1104, 1092, 809
65, -0.4488189, 840, 873, 694, 607, 697, 1093, 763, 712, -0.4488189, 712, 929, 441, 858, 956, 1004, 884, 572, -0.4566929, 548, 606, 759, 632, 831, 794, 550, 572, -0.4488189, 840, 623, 855, 858, 738, 581, 803, 548, -0.4566929, 548, 606, 759, 632, 831, 794, 550, 572
66, -0.44094488, 628, 467, 1117, 971, 1033, 528, 1086, 598, -0.44094488, 598, 505, 900, 605, 506, 616, 596, 664, -0.4488189, 743, 946, 792, 939, 862, 865, 785, 664, -0.44094488, 628, 869, 485, 1048, 888, 848, 532, 743, -0.4488189, 743, 946, 792, 939, 862, 865, 785, 664
67, -0.43307087, 913, 890, 553, 522, 640, 792, 582, 666, -0.43307087, 666, 913, 548, 700, 778, 743, 882, 523, -0.44094488, 494, 464, 570, 503, 517, 646, 515, 523, -0.43307087, 913, 490, 1081, 478, 569, 514, 841, 494, -0.44094488, 494, 464, 570, 503, 517, 646, 515, 523
68, -0.42519686, 422, 576, 921, 799, 1049, 468, 875, 505, -0.42519686, 505, 443, 931, 470, 490, 467, 437, 702, -0.43307087, 749, 944, 684, 991, 831, 782, 832, 702, -0.42519686, 422, 782, 455, 760, 942, 704, 452, 749, -0.43307087, 749, 944, 684, 991, 831, 782, 832, 702
69, -0.41732284, 888, 897, 538, 469, 520, 981, 523, 824, -0.41732284, 824, 943, 413, 925, 838, 925, 889, 413, -0.42519686, 418, 556, 504, 496, 508, 544, 464, 413, -0.41732284, 888, 499, 1002, 411, 510, 456, 864, 418, -0.42519686, 418, 556, 504, 496, 508, 544, 464, 413
70, -0.40944883, 347, 385, 996, 809, 1022, 499, 721, 411, -0.40944883, 411, 620, 561, 503, 455, 532, 525, 880, -0.41732284, 863, 1024, 1017, 1012, 992, 1105, 855, 880, -0.40944883, 347, 820, 502, 889, 899, 1071, 473, 863, -0.41732284, 863, 1024, 1017, 1012, 992, 1105, 855, 880
71, -0.4015748, 555, 551, 441, 398, 357, 637, 476, 575, -0.4015748, 575, 551, 701, 618, 564, 576, 532, 433, -0.40944883, 340, 555, 489, 453, 488, 432, 469, 433, -0.4015748, 555, 506, 626, 399, 445, 472, 505, 340, -0.40944883, 340, 555, 489, 453, 488, 432, 469, 433
72, -0.39370078, 608, 815, 564, 607, 579, 546, 599, 667, -0.39370078, 667, 618, 410, 607, 811, 529, 617, 573, -0.4015748, 536, 578, 626, 627, 648, 521, 530, 573, -0.39370078, 608, 497, 642, 518, 635, 586, 503, 536, -0.4015748, 536, 578, 626, 627, 648, 521, 530, 573
73, -0.38582677, 503, 502, 690, 702, 706, 509, 748, 625, -0.38582677, 625, 432, 442, 457, 489, 549, 422, 530, -0.39370078, 661, 670, 687, 605, 637, 573, 629, 530, -0.38582677, 503, 747, 380, 684, 731, 736, 477, 661, -0.39370078, 661, 670, 687, 605, 637, 573, 629, 530
74, -0.37795275, 419, 525, 493, 511, 496, 448, 465, 467, -0.37795275, 467, 420, 763, 479, 474, 451, 442, 524, -0.38582677, 383, 386, 359, 403, 418, 491, 444, 524, -0.37795275, 419, 472, 566, 458, 434, 397, 489, 383, -0.38582677, 383, 386, 359, 403, 418, 491, 444, 524
